"Sort Key","Type","Name","Version","Name Space Id","Description","Steward","Value Type","Minimum Cardinality","Maximum Cardinality","Minimum Value","Maximum Value","Minimum Characters","Maximum Characters","Unit of Measure Type","Specified Unit Id","Attribute Concept","Conceptual Domain"
"img_surface:Surface_Imaging:1               ","Class","Surface_Imaging","1.0.0.0","img_surface","Attributes specific to imaging instruments on surface missions.","img","","","","","","","","","","",""
"img_surface:Image_Identifiers:1             ","Class","Image_Identifiers","1.0.0.0","img_surface","The Image_Identifiers class contains items that help to identify the image or guide how processing should be done to the image.","img","","","","","","","","","","",""
"img_surface:Image_Identifiers:2              img_surface:image_id:1                      ","Attribute","image_id","n/a","img_surface","The image_id is an arbitrary string identifier that is associated with this image. The specific interpretation of it is mission-dependent, and it need not be unique to this image. For example, missions may use it as an image counter, a round-trip token indicating how to process the image, or a FSW-assigned value identifying the image.","img","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"img_surface:Image_Identifiers:2              img_surface:image_id_2:1                    ","Attribute","image_id_2","n/a","img_surface","The image_id_2 allows a second image_id for missions with two, same use cases.","img","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"img_surface:Image_Identifiers:2              img_surface:mosaic_id:1                     ","Attribute","mosaic_id","n/a","img_surface","The mosaic_id attribute specifies which mosaic this image should be automatically included in. This does not constrain which mosaic(s) the image may be included in outside a pipeline environment.","img","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"img_surface:Image_Identifiers:2              img_surface:mesh_id:1                       ","Attribute","mesh_id","n/a","img_surface","The mesh_id attribute specifies which terrain mesh this image should be automatically included in. This does not constrain which mesh(es) the image may be included in outside a pipeline environment.","img","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"img_surface:Image_Identifiers:2              img_surface:stereo_match_id:1               ","Attribute","stereo_match_id","n/a","img_surface"," The stereo_match_id attribute specifies which other image this image matches with for stereo processing. If used for a mission, the two images making up a stereo pair should share the same stereo_match_id value. ","img","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"img_surface:Image_Identifiers:2              img_surface:start_image_id:1                ","Attribute","start_image_id","n/a","img_surface","Specifies the starting image ID for some operation.","img","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"img_surface:Image_Identifiers:2              img_surface:observation_number:1            ","Attribute","observation_number","n/a","img_surface","Identifies which observation of many this data product pertains to.","img","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"img_surface:Image_Identifiers:2              img_surface:parameter_table_number:1        ","Attribute","parameter_table_number","n/a","img_surface","Specifies which table of parameters to use. Tables are necessarily defined in a mission- and instrument-specific manner.","img","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
